ID_MN_RESI,UF,REGSAUDE,NU_ANO,MASCULINO_MUN,FEMININO_MUN,MASCULINO_UF,FEMININO_UF,MASCULINO_RS,FEMININO_RS,MUNICIPIO,ANO,DATA,RAZAO_MUN,RAZAO_UF,RAZAO_RS
110092,RO,Cone Sul,2022,13.0,28.0,3240,3647,155,179,Chupinguaia,2022,2022-01-01,0.4642857142857143,0.8884014258294488,0.8659217877094972
110094,RO,Vale do Jamari,2022,23.0,29.0,3240,3647,632,700,Cujubim,2022,2022-01-01,0.7931034482758621,0.8884014258294488,0.9028571428571428
110100,RO,Central,2022,,1.0,3240,3647,21325,25950,Governador Jorge Teixeira,2022,2022-01-01,,0.8884014258294488,0.8217726396917149
110110,RO,Madeira-Mamoré,2022,2.0,,3240,3647,462,535,Itapuã do Oeste,2022,2022-01-01,,0.8884014258294488,0.8635514018691589
110120,RO,Café,2022,32.0,24.0,3240,3647,1134,1231,Ministro Andreazza,2022,2022-01-01,1.3333333333333333,0.8884014258294488,0.9212022745735174
110130,RO,Central,2022,4.0,7.0,3240,3647,21325,25950,Mirante da Serra,2022,2022-01-01,0.5714285714285714,0.8884014258294488,0.8217726396917149
110140,RO,Vale do Jamari,2022,13.0,32.0,3240,3647,632,700,Monte Negro,2022,2022-01-01,0.40625,0.8884014258294488,0.9028571428571428
110143,RO,Central,2022,8.0,6.0,3240,3647,21325,25950,Nova União,2022,2022-01-01,1.3333333333333333,0.8884014258294488,0.8217726396917149
110145,RO,Zona da Mata,2022,5.0,3.0,3240,3647,263,286,Parecis,2022,2022-01-01,1.6666666666666667,0.8884014258294488,0.9195804195804196
110147,RO,Café,2022,11.0,6.0,3240,3647,1134,1231,Primavera de Rondônia,2022,2022-01-01,1.8333333333333333,0.8884014258294488,0.9212022745735174
110148,RO,Café,2022,6.0,2.0,3240,3647,1134,1231,São Felipe D'Oeste,2022,2022-01-01,3.0,0.8884014258294488,0.9212022745735174
110149,RO,Vale do Guaporé,2022,55.0,53.0,3240,3647,205,232,São Francisco do Guaporé,2022,2022-01-01,1.0377358490566038,0.8884014258294488,0.8836206896551724
110150,RO,Vale do Guaporé,2022,149.0,176.0,3240,3647,205,232,Seringueiras,2022,2022-01-01,0.8465909090909091,0.8884014258294488,0.8836206896551724
110155,RO,Central,2022,20.0,24.0,3240,3647,21325,25950,Teixeirópolis,2022,2022-01-01,0.8333333333333334,0.8884014258294488,0.8217726396917149
110160,RO,Central,2022,1.0,4.0,3240,3647,21325,25950,Theobroma,2022,2022-01-01,0.25,0.8884014258294488,0.8217726396917149
110170,RO,Central,2022,17.0,16.0,3240,3647,21325,25950,Urupá,2022,2022-01-01,1.0625,0.8884014258294488,0.8217726396917149
110175,RO,Central,2022,,2.0,3240,3647,21325,25950,Vale do Anari,2022,2022-01-01,,0.8884014258294488,0.8217726396917149
110180,RO,Central,2022,18.0,21.0,3240,3647,21325,25950,Vale do Paraíso,2022,2022-01-01,0.8571428571428571,0.8884014258294488,0.8217726396917149
120001,AC,Baixo Acre e Purus,2022,3.0,2.0,1016,1200,207,256,Acrelândia,2022,2022-01-01,1.5,0.8466666666666667,0.80859375
120005,AC,Alto Acre,2022,58.0,53.0,1016,1200,86,81,Assis Brasil,2022,2022-01-01,1.0943396226415094,0.8466666666666667,1.0617283950617284
120010,AC,Alto Acre,2022,8.0,9.0,1016,1200,86,81,Brasiléia,2022,2022-01-01,0.8888888888888888,0.8466666666666667,1.0617283950617284
120013,AC,Baixo Acre e Purus,2022,1.0,1.0,1016,1200,207,256,Bujari,2022,2022-01-01,1.0,0.8466666666666667,0.80859375
120017,AC,Baixo Acre e Purus,2022,6.0,4.0,1016,1200,207,256,Capixaba,2022,2022-01-01,1.5,0.8466666666666667,0.80859375
120020,AC,Juruá e Tarauacá/Envira,2022,407.0,507.0,1016,1200,723,863,Cruzeiro do Sul,2022,2022-01-01,0.8027613412228797,0.8466666666666667,0.8377752027809965
120025,AC,Alto Acre,2022,6.0,8.0,1016,1200,86,81,Epitaciolândia,2022,2022-01-01,0.75,0.8466666666666667,1.0617283950617284
