UF,ID_MN_RESI,SEMANA,2022,NU_ANO,SEM_PRI,DATA,MUNICIPIO,REGSAUDE
AC,120001,5,13.109596224436288,2022,202205,2022-01-30,Acrelândia,Baixo Acre e Purus
AC,120001,6,13.109596224436288,2022,202206,2022-02-06,Acrelândia,Baixo Acre e Purus
AC,120001,20,6.554798112218144,2022,202220,2022-05-15,Acrelândia,Baixo Acre e Purus
AC,120005,1,148.3079412161251,2022,202201,2022-01-02,Assis Brasil,Alto Acre
AC,120005,2,80.89524066334097,2022,202202,2022-01-09,Assis Brasil,Alto Acre
AC,120005,3,94.3777807738978,2022,202203,2022-01-16,Assis Brasil,Alto Acre
AC,120005,4,80.89524066334097,2022,202204,2022-01-23,Assis Brasil,Alto Acre
AC,120005,5,53.93016044222731,2022,202205,2022-01-30,Assis Brasil,Alto Acre
AC,120005,6,40.447620331670485,2022,202206,2022-02-06,Assis Brasil,Alto Acre
AC,120005,7,94.3777807738978,2022,202207,2022-02-13,Assis Brasil,Alto Acre
AC,120005,8,121.34286099501146,2022,202208,2022-02-20,Assis Brasil,Alto Acre
AC,120005,9,94.3777807738978,2022,202209,2022-02-27,Assis Brasil,Alto Acre
AC,120005,10,148.3079412161251,2022,202210,2022-03-06,Assis Brasil,Alto Acre
AC,120005,11,53.93016044222731,2022,202211,2022-03-13,Assis Brasil,Alto Acre
AC,120005,12,148.3079412161251,2022,202212,2022-03-20,Assis Brasil,Alto Acre
AC,120005,13,26.965080221113656,2022,202213,2022-03-27,Assis Brasil,Alto Acre
AC,120005,14,26.965080221113656,2022,202214,2022-04-03,Assis Brasil,Alto Acre
AC,120005,15,40.447620331670485,2022,202215,2022-04-10,Assis Brasil,Alto Acre
AC,120005,16,107.86032088445462,2022,202216,2022-04-17,Assis Brasil,Alto Acre
AC,120005,17,53.93016044222731,2022,202217,2022-04-24,Assis Brasil,Alto Acre
AC,120005,18,40.447620331670485,2022,202218,2022-05-01,Assis Brasil,Alto Acre
AC,120005,19,53.93016044222731,2022,202219,2022-05-08,Assis Brasil,Alto Acre
AC,120010,3,11.416393941700282,2022,202203,2022-01-16,Brasiléia,Alto Acre
AC,120010,4,7.610929294466855,2022,202204,2022-01-23,Brasiléia,Alto Acre
AC,120010,6,7.610929294466855,2022,202206,2022-02-06,Brasiléia,Alto Acre
AC,120010,9,7.610929294466855,2022,202209,2022-02-27,Brasiléia,Alto Acre
AC,120010,11,3.805464647233428,2022,202211,2022-03-13,Brasiléia,Alto Acre
AC,120010,12,3.805464647233428,2022,202212,2022-03-20,Brasiléia,Alto Acre
AC,120010,15,3.805464647233428,2022,202215,2022-04-10,Brasiléia,Alto Acre
AC,120010,16,3.805464647233428,2022,202216,2022-04-17,Brasiléia,Alto Acre
AC,120010,18,7.610929294466855,2022,202218,2022-05-01,Brasiléia,Alto Acre
AC,120010,19,7.610929294466855,2022,202219,2022-05-08,Brasiléia,Alto Acre
AC,120013,2,9.74089226573154,2022,202202,2022-01-09,Bujari,Baixo Acre e Purus
AC,120013,9,9.74089226573154,2022,202209,2022-02-27,Bujari,Baixo Acre e Purus
AC,120017,4,8.522969402539845,2022,202204,2022-01-23,Capixaba,Baixo Acre e Purus
AC,120017,7,8.522969402539845,2022,202207,2022-02-13,Capixaba,Baixo Acre e Purus
AC,120017,10,17.04593880507969,2022,202210,2022-03-06,Capixaba,Baixo Acre e Purus
AC,120017,11,8.522969402539845,2022,202211,2022-03-13,Capixaba,Baixo Acre e Purus
AC,120017,12,8.522969402539845,2022,202212,2022-03-20,Capixaba,Baixo Acre e Purus
AC,120017,14,8.522969402539845,2022,202214,2022-04-03,Capixaba,Baixo Acre e Purus
AC,120017,17,17.04593880507969,2022,202217,2022-04-24,Capixaba,Baixo Acre e Purus
AC,120017,19,8.522969402539845,2022,202219,2022-05-08,Capixaba,Baixo Acre e Purus
AC,120020,1,18.10446275006789,2022,202201,2022-01-02,Cruzeiro do Sul,Juruá e Tarauacá/Envira
AC,120020,2,65.62867746899612,2022,202202,2022-01-09,Cruzeiro do Sul,Juruá e Tarauacá/Envira
AC,120020,3,126.73123925047524,2022,202203,2022-01-16,Cruzeiro do Sul,Juruá e Tarauacá/Envira
AC,120020,4,87.12772698470172,2022,202204,2022-01-23,Cruzeiro do Sul,Juruá e Tarauacá/Envira
AC,120020,5,37.34045442201503,2022,202205,2022-01-30,Cruzeiro do Sul,Juruá e Tarauacá/Envira
AC,120020,6,61.10256178147914,2022,202206,2022-02-06,Cruzeiro do Sul,Juruá e Tarauacá/Envira
AC,120020,7,88.25925590658096,2022,202207,2022-02-13,Cruzeiro do Sul,Juruá e Tarauacá/Envira
AC,120020,8,65.62867746899612,2022,202208,2022-02-20,Cruzeiro do Sul,Juruá e Tarauacá/Envira
AC,120020,9,49.787272562686695,2022,202209,2022-02-27,Cruzeiro do Sul,Juruá e Tarauacá/Envira
AC,120020,10,93.9169005159772,2022,202210,2022-03-06,Cruzeiro do Sul,Juruá e Tarauacá/Envira
AC,120020,11,64.49714854711686,2022,202211,2022-03-13,Cruzeiro do Sul,Juruá e Tarauacá/Envira
AC,120020,12,50.91880148456595,2022,202212,2022-03-20,Cruzeiro do Sul,Juruá e Tarauacá/Envira
AC,120020,13,41.866570109532,2022,202213,2022-03-27,Cruzeiro do Sul,Juruá e Tarauacá/Envira
AC,120020,14,53.18185932832444,2022,202214,2022-04-03,Cruzeiro do Sul,Juruá e Tarauacá/Envira
AC,120020,15,35.07739657825654,2022,202215,2022-04-10,Cruzeiro do Sul,Juruá e Tarauacá/Envira
AC,120020,16,37.34045442201503,2022,202216,2022-04-17,Cruzeiro do Sul,Juruá e Tarauacá/Envira
AC,120020,17,36.20892550013578,2022,202217,2022-04-24,Cruzeiro do Sul,Juruá e Tarauacá/Envira
AC,120020,18,21.49904951570562,2022,202218,2022-05-01,Cruzeiro do Sul,Juruá e Tarauacá/Envira
AC,120020,19,19.235991671947136,2022,202219,2022-05-08,Cruzeiro do Sul,Juruá e Tarauacá/Envira
AC,120020,20,6.789173531275459,2022,202220,2022-05-15,Cruzeiro do Sul,Juruá e Tarauacá/Envira
AC,120025,2,5.431535495084461,2022,202202,2022-01-09,Epitaciolândia,Alto Acre
AC,120025,3,5.431535495084461,2022,202203,2022-01-16,Epitaciolândia,Alto Acre
AC,120025,5,10.863070990168922,2022,202205,2022-01-30,Epitaciolândia,Alto Acre
AC,120025,7,10.863070990168922,2022,202207,2022-02-13,Epitaciolândia,Alto Acre
AC,120025,8,5.431535495084461,2022,202208,2022-02-20,Epitaciolândia,Alto Acre
AC,120025,10,5.431535495084461,2022,202210,2022-03-06,Epitaciolândia,Alto Acre
AC,120025,12,5.431535495084461,2022,202212,2022-03-20,Epitaciolândia,Alto Acre
AC,120025,13,5.431535495084461,2022,202213,2022-03-27,Epitaciolândia,Alto Acre
AC,120025,14,5.431535495084461,2022,202214,2022-04-03,Epitaciolândia,Alto Acre
AC,120025,15,5.431535495084461,2022,202215,2022-04-10,Epitaciolândia,Alto Acre
AC,120025,16,5.431535495084461,2022,202216,2022-04-17,Epitaciolândia,Alto Acre
AC,120025,18,5.431535495084461,2022,202218,2022-05-01,Epitaciolândia,Alto Acre
AC,120030,1,46.003450258769405,2022,202201,2022-01-02,Feijó,Juruá e Tarauacá/Envira
AC,120030,2,80.50603795284647,2022,202202,2022-01-09,Feijó,Juruá e Tarauacá/Envira
AC,120030,3,83.38125359401955,2022,202203,2022-01-16,Feijó,Juruá e Tarauacá/Envira
AC,120030,4,80.50603795284647,2022,202204,2022-01-23,Feijó,Juruá e Tarauacá/Envira
AC,120030,5,69.00517538815411,2022,202205,2022-01-30,Feijó,Juruá e Tarauacá/Envira
AC,120030,6,100.6325474410581,2022,202206,2022-02-06,Feijó,Juruá e Tarauacá/Envira
AC,120030,7,57.50431282346176,2022,202207,2022-02-13,Feijó,Juruá e Tarauacá/Envira
AC,120030,8,71.8803910293272,2022,202208,2022-02-20,Feijó,Juruá e Tarauacá/Envira
AC,120030,9,60.379528464634845,2022,202209,2022-02-27,Feijó,Juruá e Tarauacá/Envira
AC,120030,10,43.12823461759632,2022,202210,2022-03-06,Feijó,Juruá e Tarauacá/Envira
AC,120030,11,28.75215641173088,2022,202211,2022-03-13,Feijó,Juruá e Tarauacá/Envira
AC,120030,12,17.25129384703853,2022,202212,2022-03-20,Feijó,Juruá e Tarauacá/Envira
AC,120032,18,12.023566189731875,2022,202218,2022-05-01,Jordão,Baixo Acre e Purus
