ID_MN_RESI,REGSAUDE,UF,OBITOS_MUN,TOTAL_POPULACAO_MUN,TAXA_MORTALIDADE_MUN,OBITOS_UF,TOTAL_POPULACAO_UF,TAXA_MORTALIDADE_UF,OBITOS_RS,TOTAL_POPULACAO_RS,TAXA_MORTALIDADE_RS,ANO,MUNICIPIO
130260,Manaus; Entorno e Alto Rio Negro,AM,4,2182763,0.0018325397672582869,8.0,4144597.0,0.0019302238552988383,4.0,2576049.0,0.0015527654947557286,2021,Manaus
130310,Manaus; Entorno e Alto Rio Negro,AM,0,37378,0.0,8.0,4144597.0,0.0019302238552988383,4.0,2576049.0,0.0015527654947557286,2021,Nova Olinda do Norte
130356,Manaus; Entorno e Alto Rio Negro,AM,0,33347,0.0,8.0,4144597.0,0.0019302238552988383,4.0,2576049.0,0.0015527654947557286,2021,Rio Preto da Eva
130360,Manaus; Entorno e Alto Rio Negro,AM,0,25156,0.0,8.0,4144597.0,0.0019302238552988383,4.0,2576049.0,0.0015527654947557286,2021,Santa Isabel do Rio Negro
130395,Médio Amazonas,AM,0,14020,0.0,8.0,4144597.0,0.0019302238552988383,0.0,172997.0,0.0,2021,São Sebastião do Uatumã
130420,Triângulo,AM,2,59849,0.033417433875252714,8.0,4144597.0,0.0019302238552988383,2.0,125121.0,0.015984526977885407,2021,Tefé
130426,Triângulo,AM,0,13540,0.0,8.0,4144597.0,0.0019302238552988383,2.0,125121.0,0.015984526977885407,2021,Uarini
140005,Centro Norte,RR,0,15510,0.0,0.0,605761.0,0.0,0.0,616544.0,0.0,2021,Alto Alegre
140010,Centro Norte,RR,0,399213,0.0,0.0,605761.0,0.0,0.0,616544.0,0.0,2021,Boa Vista
140015,Centro Norte,RR,0,12409,0.0,0.0,605761.0,0.0,0.0,616544.0,0.0,2021,Bonfim
140030,Centro Norte,RR,0,17853,0.0,0.0,605761.0,0.0,0.0,616544.0,0.0,2021,Mucajaí
140045,Centro Norte,RR,0,17401,0.0,0.0,605761.0,0.0,0.0,616544.0,0.0,2021,Pacaraima
140050,Sul,RR,0,8201,0.0,0.0,605761.0,0.0,0.0,1022120.0,0.0,2021,São João da Baliza
140060,Sul,RR,0,7986,0.0,0.0,605761.0,0.0,0.0,1022120.0,0.0,2021,São Luiz
150020,Metropolitana II,PA,1,55591,0.017988523322120486,2.0,8602865.0,0.000232480691025606,1.0,2484098.0,0.00040256060751226396,2021,Acará
150030,Marajó I,PA,0,39218,0.0,2.0,8602865.0,0.000232480691025606,0.0,244027.0,0.0,2021,Afuá
150034,Araguaia,PA,0,27430,0.0,2.0,8602865.0,0.000232480691025606,0.0,566682.0,0.0,2021,Água Azul do Norte
150090,Rio Caetés,PA,0,45998,0.0,2.0,8602865.0,0.000232480691025606,0.0,541251.0,0.0,2021,Augusto Corrêa
150110,Marajó II,PA,0,30673,0.0,2.0,8602865.0,0.000232480691025606,0.0,320172.0,0.0,2021,Bagre
150130,Tocantins,PA,0,124680,0.0,2.0,8602865.0,0.000232480691025606,0.0,705089.0,0.0,2021,Barcarena
150157,Carajás,PA,0,16981,0.0,2.0,8602865.0,0.000232480691025606,0.0,875232.0,0.0,2021,Bom Jesus do Tocantins
150180,Marajó II,PA,0,102701,0.0,2.0,8602865.0,0.000232480691025606,0.0,320172.0,0.0,2021,Breves
