ID_MN_RESI,UF,REGSAUDE,NU_ANO,MASCULINO_MUN,FEMININO_MUN,MASCULINO_UF,FEMININO_UF,MASCULINO_RS,FEMININO_RS,MUNICIPIO,ANO,DATA,RAZAO_MUN,RAZAO_UF,RAZAO_RS
110001,RO,Zona da Mata,2021,23.0,15.0,2125.0,2252.0,204.0,234.0,Alta Floresta D'Oeste,2021,2021-01-01,1.5333333333333334,0.9436056838365897,0.8717948717948718
110002,RO,Vale do Jamari,2021,51.0,49.0,2125.0,2252.0,597.0,597.0,Ariquemes,2021,2021-01-01,1.0408163265306123,0.9436056838365897,1.0
110003,RO,Cone Sul,2021,,3.0,2125.0,2252.0,176.0,208.0,Cabixi,2021,2021-01-01,,0.9436056838365897,0.8461538461538461
110004,RO,Café,2021,121.0,163.0,2125.0,2252.0,260.0,304.0,Cacoal,2021,2021-01-01,0.7423312883435583,0.9436056838365897,0.8552631578947368
110005,RO,Cone Sul,2021,6.0,9.0,2125.0,2252.0,176.0,208.0,Cerejeiras,2021,2021-01-01,0.6666666666666666,0.9436056838365897,0.8461538461538461
110006,RO,Cone Sul,2021,9.0,20.0,2125.0,2252.0,176.0,208.0,Colorado do Oeste,2021,2021-01-01,0.45,0.9436056838365897,0.8461538461538461
110007,RO,Cone Sul,2021,,4.0,2125.0,2252.0,176.0,208.0,Corumbiara,2021,2021-01-01,,0.9436056838365897,0.8461538461538461
110008,RO,Vale do Guaporé,2021,19.0,19.0,2125.0,2252.0,138.0,162.0,Costa Marques,2021,2021-01-01,1.0,0.9436056838365897,0.8518518518518519
110009,RO,Café,2021,14.0,17.0,2125.0,2252.0,260.0,304.0,Espigão D'Oeste,2021,2021-01-01,0.8235294117647058,0.9436056838365897,0.8552631578947368
110010,RO,Madeira-Mamoré,2021,42.0,58.0,2125.0,2252.0,419.0,387.0,Guajará-Mirim,2021,2021-01-01,0.7241379310344828,0.9436056838365897,1.082687338501292
110011,RO,Central,2021,49.0,53.0,2125.0,2252.0,9256.0,9652.0,Jaru,2021,2021-01-01,0.9245283018867925,0.9436056838365897,0.9589722337339411
110012,RO,Central,2021,159.0,138.0,2125.0,2252.0,9256.0,9652.0,Ji-Paraná,2021,2021-01-01,1.1521739130434783,0.9436056838365897,0.9589722337339411
110013,RO,Vale do Jamari,2021,39.0,31.0,2125.0,2252.0,597.0,597.0,Machadinho D'Oeste,2021,2021-01-01,1.2580645161290323,0.9436056838365897,1.0
110014,RO,Zona da Mata,2021,47.0,34.0,2125.0,2252.0,204.0,234.0,Nova Brasilândia D'Oeste,2021,2021-01-01,1.3823529411764706,0.9436056838365897,0.8717948717948718
110015,RO,Central,2021,4.0,9.0,2125.0,2252.0,9256.0,9652.0,Ouro Preto do Oeste,2021,2021-01-01,0.4444444444444444,0.9436056838365897,0.9589722337339411
110018,RO,Café,2021,77.0,71.0,2125.0,2252.0,260.0,304.0,Pimenta Bueno,2021,2021-01-01,1.0845070422535212,0.9436056838365897,0.8552631578947368
110020,RO,Madeira-Mamoré,2021,275.0,256.0,2125.0,2252.0,419.0,387.0,Porto Velho,2021,2021-01-01,1.07421875,0.9436056838365897,1.082687338501292
110025,RO,Central,2021,64.0,89.0,2125.0,2252.0,9256.0,9652.0,Presidente Médici,2021,2021-01-01,0.7191011235955056,0.9436056838365897,0.9589722337339411
110026,RO,Vale do Jamari,2021,17.0,15.0,2125.0,2252.0,597.0,597.0,Rio Crespo,2021,2021-01-01,1.1333333333333333,0.9436056838365897,1.0
110028,RO,Zona da Mata,2021,10.0,24.0,2125.0,2252.0,204.0,234.0,Rolim de Moura,2021,2021-01-01,0.4166666666666667,0.9436056838365897,0.8717948717948718
110029,RO,Zona da Mata,2021,6.0,11.0,2125.0,2252.0,204.0,234.0,Santa Luzia D'Oeste,2021,2021-01-01,0.5454545454545454,0.9436056838365897,0.8717948717948718
110030,RO,Cone Sul,2021,124.0,105.0,2125.0,2252.0,176.0,208.0,Vilhena,2021,2021-01-01,1.180952380952381,0.9436056838365897,0.8461538461538461
110032,RO,Central,2021,20.0,22.0,2125.0,2252.0,9256.0,9652.0,São Miguel do Guaporé,2021,2021-01-01,0.9090909090909091,0.9436056838365897,0.9589722337339411
110033,RO,Madeira-Mamoré,2021,9.0,8.0,2125.0,2252.0,419.0,387.0,Nova Mamoré,2021,2021-01-01,1.125,0.9436056838365897,1.082687338501292
110034,RO,Central,2021,,1.0,2125.0,2252.0,9256.0,9652.0,Alvorada D'Oeste,2021,2021-01-01,,0.9436056838365897,0.9589722337339411
110037,RO,Zona da Mata,2021,22.0,16.0,2125.0,2252.0,204.0,234.0,Alto Alegre dos Parecis,2021,2021-01-01,1.375,0.9436056838365897,0.8717948717948718
110040,RO,Vale do Jamari,2021,20.0,14.0,2125.0,2252.0,597.0,597.0,Alto Paraíso,2021,2021-01-01,1.4285714285714286,0.9436056838365897,1.0
110045,RO,Vale do Jamari,2021,161.0,138.0,2125.0,2252.0,597.0,597.0,Buritis,2021,2021-01-01,1.1666666666666667,0.9436056838365897,1.0
110045,RO,Vale do Jamari,2022,1.0,1.0,1.0,2.0,1.0,2.0,Buritis,2022,2022-01-01,1.0,0.5,0.5
110050,RO,Zona da Mata,2021,5.0,15.0,2125.0,2252.0,204.0,234.0,Novo Horizonte do Oeste,2021,2021-01-01,0.3333333333333333,0.9436056838365897,0.8717948717948718
110060,RO,Vale do Jamari,2021,5.0,3.0,2125.0,2252.0,597.0,597.0,Cacaulândia,2021,2021-01-01,1.6666666666666667,0.9436056838365897,1.0
110070,RO,Vale do Jamari,2021,92.0,73.0,2125.0,2252.0,597.0,597.0,Campo Novo de Rondônia,2021,2021-01-01,1.2602739726027397,0.9436056838365897,1.0
110080,RO,Madeira-Mamoré,2021,20.0,12.0,2125.0,2252.0,419.0,387.0,Candeias do Jamari,2021,2021-01-01,1.6666666666666667,0.9436056838365897,1.082687338501292
110090,RO,Zona da Mata,2021,24.0,24.0,2125.0,2252.0,204.0,234.0,Castanheiras,2021,2021-01-01,1.0,0.9436056838365897,0.8717948717948718
110092,RO,Cone Sul,2021,37.0,64.0,2125.0,2252.0,176.0,208.0,Chupinguaia,2021,2021-01-01,0.578125,0.9436056838365897,0.8461538461538461
110094,RO,Vale do Jamari,2021,22.0,14.0,2125.0,2252.0,597.0,597.0,Cujubim,2021,2021-01-01,1.5714285714285714,0.9436056838365897,1.0
110094,RO,Vale do Jamari,2022,,1.0,1.0,2.0,1.0,2.0,Cujubim,2022,2022-01-01,,0.5,0.5
110100,RO,Central,2021,3.0,,2125.0,2252.0,9256.0,9652.0,Governador Jorge Teixeira,2021,2021-01-01,,0.9436056838365897,0.9589722337339411
110110,RO,Madeira-Mamoré,2021,73.0,53.0,2125.0,2252.0,419.0,387.0,Itapuã do Oeste,2021,2021-01-01,1.3773584905660377,0.9436056838365897,1.082687338501292
110120,RO,Café,2021,15.0,24.0,2125.0,2252.0,260.0,304.0,Ministro Andreazza,2021,2021-01-01,0.625,0.9436056838365897,0.8552631578947368
110130,RO,Central,2021,2.0,,2125.0,2252.0,9256.0,9652.0,Mirante da Serra,2021,2021-01-01,,0.9436056838365897,0.9589722337339411
110140,RO,Vale do Jamari,2021,190.0,260.0,2125.0,2252.0,597.0,597.0,Monte Negro,2021,2021-01-01,0.7307692307692307,0.9436056838365897,1.0
110143,RO,Central,2021,2.0,,2125.0,2252.0,9256.0,9652.0,Nova União,2021,2021-01-01,,0.9436056838365897,0.9589722337339411
110145,RO,Zona da Mata,2021,67.0,95.0,2125.0,2252.0,204.0,234.0,Parecis,2021,2021-01-01,0.7052631578947368,0.9436056838365897,0.8717948717948718
110146,RO,Cone Sul,2021,,3.0,2125.0,2252.0,176.0,208.0,Pimenteiras do Oeste,2021,2021-01-01,,0.9436056838365897,0.8461538461538461
