ID_MN_RESI,UF,REGSAUDE,NU_ANO,MASCULINO_MUN,FEMININO_MUN,MASCULINO_UF,FEMININO_UF,MASCULINO_RS,FEMININO_RS,MUNICIPIO,ANO,DATA,RAZAO_MUN,RAZAO_UF,RAZAO_RS
110001,RO,Zona da Mata,2022,20.0,29.0,4171,4689,287,318,Alta Floresta D'Oeste,2022,2022-01-01,0.6896551724137931,0.8895286841544039,0.9025157232704403
110002,RO,Vale do Jamari,2022,354.0,355.0,4171,4689,760,833,Ariquemes,2022,2022-01-01,0.9971830985915493,0.8895286841544039,0.9123649459783914
110003,RO,Cone Sul,2022,11.0,17.0,4171,4689,142,169,Cabixi,2022,2022-01-01,0.6470588235294118,0.8895286841544039,0.8402366863905325
110004,RO,Café,2022,894.0,997.0,4171,4689,1160,1272,Cacoal,2022,2022-01-01,0.8966900702106319,0.8895286841544039,0.9119496855345912
110005,RO,Cone Sul,2022,6.0,3.0,4171,4689,142,169,Cerejeiras,2022,2022-01-01,2.0,0.8895286841544039,0.8402366863905325
110006,RO,Cone Sul,2022,5.0,5.0,4171,4689,142,169,Colorado do Oeste,2022,2022-01-01,1.0,0.8895286841544039,0.8402366863905325
110007,RO,Cone Sul,2022,2.0,1.0,4171,4689,142,169,Corumbiara,2022,2022-01-01,2.0,0.8895286841544039,0.8402366863905325
110008,RO,Vale do Guaporé,2022,3.0,4.0,4171,4689,280,320,Costa Marques,2022,2022-01-01,0.75,0.8895286841544039,0.875
110009,RO,Café,2022,171.0,183.0,4171,4689,1160,1272,Espigão D'Oeste,2022,2022-01-01,0.9344262295081968,0.8895286841544039,0.9119496855345912
110010,RO,Madeira-Mamoré,2022,19.0,19.0,4171,4689,613,721,Guajará-Mirim,2022,2022-01-01,1.0,0.8895286841544039,0.8502080443828016
110011,RO,Central,2022,79.0,86.0,4171,4689,22178,26876,Jaru,2022,2022-01-01,0.9186046511627907,0.8895286841544039,0.825197201964578
110012,RO,Central,2022,555.0,646.0,4171,4689,22178,26876,Ji-Paraná,2022,2022-01-01,0.8591331269349846,0.8895286841544039,0.825197201964578
110013,RO,Vale do Jamari,2022,86.0,139.0,4171,4689,760,833,Machadinho D'Oeste,2022,2022-01-01,0.6187050359712231,0.8895286841544039,0.9123649459783914
110014,RO,Zona da Mata,2022,173.0,193.0,4171,4689,287,318,Nova Brasilândia D'Oeste,2022,2022-01-01,0.8963730569948186,0.8895286841544039,0.9025157232704403
110015,RO,Central,2022,17.0,11.0,4171,4689,22178,26876,Ouro Preto do Oeste,2022,2022-01-01,1.5454545454545454,0.8895286841544039,0.825197201964578
110018,RO,Café,2022,52.0,61.0,4171,4689,1160,1272,Pimenta Bueno,2022,2022-01-01,0.8524590163934426,0.8895286841544039,0.9119496855345912
110020,RO,Madeira-Mamoré,2022,537.0,645.0,4171,4689,613,721,Porto Velho,2022,2022-01-01,0.8325581395348837,0.8895286841544039,0.8502080443828016
110025,RO,Central,2022,131.0,157.0,4171,4689,22178,26876,Presidente Médici,2022,2022-01-01,0.8343949044585988,0.8895286841544039,0.825197201964578
