ID_MN_RESI,UF,REGSAUDE,NU_ANO,MASCULINO_MUN,FEMININO_MUN,MASCULINO_UF,FEMININO_UF,MASCULINO_RS,FEMININO_RS,MUNICIPIO,ANO,DATA,RAZAO_MUN,RAZAO_UF,RAZAO_RS
110070,RO,Vale do Jamari,2021,40.0,29.0,1046.0,1179.0,330.0,318.0,Campo Novo de Rondônia,2021,2021-01-01,1.3793103448275863,0.8871925360474979,1.0377358490566038
110080,RO,Madeira-Mamoré,2021,10.0,5.0,1046.0,1179.0,187.0,202.0,Candeias do Jamari,2021,2021-01-01,2.0,0.8871925360474979,0.9257425742574258
110090,RO,Zona da Mata,2021,7.0,10.0,1046.0,1179.0,82.0,106.0,Castanheiras,2021,2021-01-01,0.7,0.8871925360474979,0.7735849056603774
110092,RO,Cone Sul,2021,36.0,60.0,1046.0,1179.0,100.0,117.0,Chupinguaia,2021,2021-01-01,0.6,0.8871925360474979,0.8547008547008547
110094,RO,Vale do Jamari,2021,6.0,3.0,1046.0,1179.0,330.0,318.0,Cujubim,2021,2021-01-01,2.0,0.8871925360474979,1.0377358490566038
110100,RO,Central,2021,2.0,,1046.0,1179.0,5877.0,6280.0,Governador Jorge Teixeira,2021,2021-01-01,,0.8871925360474979,0.935828025477707
110110,RO,Madeira-Mamoré,2021,34.0,26.0,1046.0,1179.0,187.0,202.0,Itapuã do Oeste,2021,2021-01-01,1.3076923076923077,0.8871925360474979,0.9257425742574258
110120,RO,Café,2021,13.0,21.0,1046.0,1179.0,141.0,201.0,Ministro Andreazza,2021,2021-01-01,0.6190476190476191,0.8871925360474979,0.7014925373134329
110130,RO,Central,2021,1.0,,1046.0,1179.0,5877.0,6280.0,Mirante da Serra,2021,2021-01-01,,0.8871925360474979,0.935828025477707
110140,RO,Vale do Jamari,2021,100.0,136.0,1046.0,1179.0,330.0,318.0,Monte Negro,2021,2021-01-01,0.7352941176470589,0.8871925360474979,1.0377358490566038
110143,RO,Central,2021,2.0,,1046.0,1179.0,5877.0,6280.0,Nova União,2021,2021-01-01,,0.8871925360474979,0.935828025477707
